0,0,0,0,0,0,0,0,0,0,0,132,275,359,419,467,654,690,899,959,1001,1023,1276,1300,1375,1401,1455,1483,1802,1832,2173,2205,2238,2272,2342,2378,2785,2823,2862,2902,3353,3395,3868,3912,3957,4003,4520,4568,4666,4716,4767,4819,5402,5456,5511,5567,5624,5682,6331,6391,7062,7124,7187,7251,7316,7382,8119,8187,8256,8326,9107,9179,9982,10056,10131,10207,10284,10362,11231,11311,11392,11474,12387,12471,12556,12642,12729,12817,13796,13886,13977,14069,14162,14256,14351,14447,15514,15612,15711,15811
0,0,0,0,0,0,0,0,0,0,0,0,156,240,300,348,552,588,816,876,918,1050,1326,1350,1425,1451,1505,1533,1881,1911,2283,2315,2381,2415,2485,2521,2965,3003,3042,3082,3574,3616,4132,4176,4221,4267,4831,4879,4977,5027,5078,5130,5766,5820,5930,5986,6043,6101,6809,6869,7601,7663,7726,7790,7855,7921,8725,8793,8862,8932,9784,9856,10732,10806,10881,10957,11111,11189,12137,12217,12298,12380,13376,13460,13545,13631,13718,13806,14874,14964,15055,15147,15240,15334,15429,15525,16689,16787,16886,16986
0,0,0,0,0,0,0,0,0,0,0,0,0,182,377,489,710,731,978,992,1027,1181,1480,1510,1585,1611,1665,1693,2070,2100,2503,2535,2601,2635,2705,2741,3222,3260,3299,3339,3872,3914,4473,4517,4562,4608,5219,5267,5365,5415,5466,5518,6207,6261,6371,6427,6484,6542,7309,7369,8162,8224,8287,8351,8416,8482,9353,9421,9490,9560,10483,10555,11504,11578,11653,11729,11883,11961,12988,13068,13149,13231,14310,14394,14479,14565,14652,14740,15897,15987,16078,16170,16263,16357,16452,16548,17809,17907,18006,18106
0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,322,560,566,832,846,881,1035,1357,1387,1462,1644,1698,1726,2132,2162,2596,2628,2694,2728,2798,2834,3352,3390,3468,3508,4082,4124,4726,4770,4815,4861,5519,5567,5665,5715,5766,5818,6560,6614,6724,6780,6837,6895,7721,7781,8635,8697,8760,8824,8954,9020,9958,10026,10095,10165,11159,11231,12253,12327,12402,12478,12632,12710,13816,13896,13977,14059,15221,15305,15390,15476,15563,15651,16897,16987,17169,17261,17354,17448,17543,17639,18997,19095,19194,19294
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,495,489,774,770,875,1051,1396,1426,1501,1709,1763,1847,2282,2312,2777,2809,2864,2898,3003,3039,3594,3632,3697,3737,4352,4394,5039,5083,5128,5174,5879,5927,6074,6124,6175,6227,7022,7076,7186,7242,7299,7357,8242,8302,9217,9279,9342,9406,9536,9602,10607,10675,10744,10814,11879,11951,13046,13120,13195,13271,13425,13503,14688,14768,14849,14931,16176,16260,16345,16431,16518,16606,17941,18031,18213,18305,18398,18492,18587,18683,20138,20236,20335,20435
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,416,720,800,926,1102,1470,1446,1546,1754,1808,1878,2342,2402,2898,2930,2996,3030,3135,3171,3763,3801,3879,3919,4575,4617,5305,5349,5439,5485,6237,6285,6432,6482,6533,6585,7433,7487,7597,7653,7710,7768,8712,8772,9748,9810,9873,9937,10067,10133,11205,11273,11342,11412,12548,12620,13788,13862,13937,14013,14167,14245,15509,15589,15670,15752,17080,17164,17249,17335,17422,17510,18934,19024,19206,19298,19391,19485,19580,19676,21228,21326,21425,21525
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,629,809,935,1133,1524,1536,1636,1870,1924,2008,2501,2531,3058,3154,3220,3254,3359,3395,4024,4062,4140,4180,4877,4919,5650,5694,5784,5830,6629,6677,6824,6874,6925,6977,7878,7932,8042,8098,8155,8213,9216,9276,10313,10375,10438,10502,10632,10698,11837,11905,11974,12044,13251,13323,14564,14638,14713,14789,14943,15021,16364,16444,16525,16607,18018,18102,18187,18273,18360,18448,19961,20051,20233,20325,20418,20512,20607,20703,22352,22450,22549,22649
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,522,648,846,1260,1272,1372,1606,1660,1744,2266,2296,2854,2950,3016,3322,3427,3463,4129,4167,4245,4285,5023,5065,5839,5883,5973,6019,6865,6913,7060,7110,7212,7264,8218,8272,8382,8438,8495,8553,9615,9675,10773,10835,10898,10962,11092,11158,12364,12432,12501,12571,13849,13921,15235,15309,15384,15460,15614,15692,17114,17194,17275,17357,18851,18935,19105,19191,19278,19366,20968,21058,21240,21332,21425,21519,21614,21710,23456,23554,23653,23753
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,779,999,1436,1325,1425,1685,1874,1930,2481,2541,3130,3226,3292,3632,3737,3728,4431,4469,4547,4587,5366,5408,6225,6269,6359,6405,7298,7346,7493,7543,7645,7697,8704,8758,8868,8924,8981,9039,10160,10220,11379,11441,11504,11568,11698,11764,13037,13105,13174,13244,14593,14665,16052,16126,16201,16277,16431,16509,18010,18090,18171,18253,19830,19914,20084,20170,20257,20345,22036,22126,22308,22400,22493,22587,22682,22778,24621,24719,24818,24918
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,640,1100,968,1068,1328,1517,1573,2153,2213,2833,2929,2995,3335,3440,3431,4171,4551,4629,4669,5489,5531,6391,6435,6525,6571,7511,7559,7706,7756,7858,7910,8970,9024,9134,9190,9304,9362,10542,10602,11822,11884,11947,12011,12141,12207,13547,13615,13684,13754,15174,15246,16706,16780,16855,16931,17085,17163,18743,18823,18904,18986,20646,20730,20900,20986,21073,21161,22941,23031,23213,23305,23398,23492,23682,23778,25718,25816,25915,26015
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,945,915,1440,1726,1915,1999,2608,2353,3004,3100,3133,3507,3612,3603,4380,4798,4863,4983,5844,5886,6789,6833,6923,6969,7956,8004,8151,8201,8286,8338,9451,9505,9615,9671,9766,9824,11063,11123,12404,12466,12529,12593,12723,12789,14196,14264,14333,14403,15894,15966,17499,17573,17648,17724,17878,17956,19615,19695,19776,19858,21601,21685,21855,21941,22028,22116,23985,24075,24257,24349,24442,24536,24726,24822,26859,26957,27056,27156
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,770,1320,1606,1822,1990,2628,2348,3030,3126,3192,3566,3706,3670,4484,4902,4980,5100,6002,6086,7032,7076,7166,7212,8246,8294,8490,8540,8642,8694,9860,9914,10024,10080,10194,10252,11550,11610,12952,13014,13140,13204,13334,13400,14874,14942,15011,15081,16643,16715,18321,18395,18470,18546,18700,18778,20516,20596,20677,20759,22585,22669,22839,22925,23012,23100,25058,25148,25330,25422,25515,25609,25799,25895,28029,28127,28226,28326
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,1127,1439,1655,1823,2490,2185,2898,2994,3258,3666,3806,3770,4621,5077,5155,5275,6218,6302,7291,7423,7513,7559,8640,8688,8884,8934,9036,9088,10307,10361,10526,10582,10696,10754,12111,12171,13574,13636,13762,13826,13956,14022,15563,15631,15700,15770,17403,17475,19154,19228,19303,19379,19610,19688,21505,21585,21666,21748,23657,23741,23911,23997,24084,24172,26219,26309,26491,26583,26676,26770,26960,27056,29287,29385,29484,29584
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,912,1128,1296,1992,1662,2406,2502,2766,3174,3314,3278,4166,4622,4700,4820,5804,5888,6920,7052,7142,7694,8822,8870,9066,9116,9218,9270,10542,10596,10761,10817,10931,10989,12405,12465,13929,13991,14117,14181,14311,14377,15985,16053,16191,16261,17965,18037,19789,19863,19938,20014,20245,20323,22219,22299,22380,22462,24454,24538,24708,24794,24881,24969,27105,27195,27377,27469,27562,27656,27846,27942,30270,30368,30467,30567
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,1325,1689,2414,1899,2674,2898,3195,3637,3562,3580,4505,4999,5064,5120,6145,6229,7304,7436,7481,8079,9254,9334,9530,9580,9682,9734,11059,11113,11256,11312,11426,11484,12959,13019,14544,14606,14732,14796,14900,14966,16641,16709,16847,16917,18692,18764,20589,20663,20738,20814,21045,21123,23098,23178,23259,23341,25416,25500,25653,25739,25826,25914,28139,28229,28411,28503,28596,28690,28861,28957,31382,31480,31579,31679
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702,1066,1820,1778,2584,2808,3105,3547,3507,3525,4487,4981,5046,5102,6168,6252,7370,7502,7547,8145,9367,9447,9643,9793,9895,9947,11325,11379,11544,11600,11714,11772,13306,13366,14952,15014,15119,15183,15313,15379,17121,17189,17327,17397,19243,19315,21213,21287,21437,21513,21744,21822,23876,23956,24037,24119,26277,26361,26531,26617,26704,26792,29106,29196,29378,29470,29563,29657,29847,29943,32465,32563,32662,32762
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,756,1539,1473,2310,2534,2831,3307,3237,3255,4254,4786,5137,5193,6300,6384,7545,7677,7722,8366,9635,9715,9911,10061,10146,10302,11733,11787,11952,12008,12103,12161,13754,13814,15461,15523,15628,15692,15887,15953,17762,17830,17945,18015,19932,20004,21975,22049,22199,22275,22506,22584,24717,24797,24878,24960,27201,27285,27455,27541,27628,27716,30119,30209,30482,30574,30667,30761,30951,31047,33666,33764,33863,33963
